"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete","cases","percent sequenced","incomplete sequencing"
"Jan 02 (0533)",3,0.562852,30,5.628518,4,0.750469,0,0.0,1,0.187617,6,1.125704,0,0.0,0,0.0,0,0.0,489,91.744841,,27360,2,
"Jan 09 (0871)",8,0.918485,45,5.166475,8,0.918485,0,0.0,5,0.574053,12,1.377727,0,0.0,0,0.0,0,0.0,793,91.044776,,36264,2,
"Jan 16 (0413)",9,2.179177,43,10.411622,13,3.1477,0,0.0,5,1.210654,12,2.905569,0,0.0,0,0.0,0,0.0,331,80.145278,,33067,1,
"Jan 23 (0481)",13,2.702703,53,11.018711,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,400,83.160083,,30520,2,
"Jan 30 (0775)",61,7.870968,96,12.387097,23,2.967742,0,0.0,11,1.419355,14,1.806452,1,0.129032,0,0.0,0,0.0,569,73.419355,,29175,3,
"Feb 06 (1005)",82,8.159204,163,16.218905,78,7.761194,0,0.0,7,0.696517,17,1.691542,0,0.0,0,0.0,0,0.0,658,65.472637,,23756,4,
"Feb 13 (1067)",60,5.623243,231,21.649485,97,9.090909,0,0.0,12,1.124649,20,1.874414,0,0.0,0,0.0,0,0.0,647,60.637301,,22509,5,
"Feb 20 (1162)",164,14.113597,160,13.769363,93,8.003442,0,0.0,14,1.204819,17,1.462995,2,0.172117,0,0.0,0,0.0,712,61.273666,,19468,6,
"Feb 27 (1113)",203,18.238994,152,13.656783,141,12.668464,0,0.0,4,0.359389,21,1.886792,0,0.0,0,0.0,0,0.0,592,53.189578,,21555,5,
"Mar 06 (1021)",194,19.000979,178,17.433888,154,15.083252,0,0.0,9,0.881489,16,1.567091,0,0.0,0,0.0,0,0.0,470,46.033301,,20153,5,
"Mar 13 (1776)",278,15.653153,175,9.853604,209,11.768018,4,0.225225,5,0.281532,25,1.407658,0,0.0,0,0.0,0,0.0,1080,60.810811,,20299,9,
"Mar 20 (1170)",272,23.247863,114,9.74359,293,25.042735,3,0.25641,11,0.940171,18,1.538462,2,0.17094,1,0.08547,0,0.0,456,38.974359,,19799,6,
"Mar 27 (1966)",455,23.143438,173,8.799593,578,29.399797,19,0.966429,4,0.203459,18,0.915565,6,0.305188,3,0.152594,1,0.050865,709,36.063072,,22100,9,
"Apr 03 (1741)",384,22.056289,174,9.994256,615,35.324526,22,1.263642,11,0.631821,7,0.402068,3,0.172315,0,0.0,1,0.057438,524,30.097645,,19198,9,
"Apr 10 (2191)",503,22.957554,122,5.568234,765,34.915564,53,2.418987,8,0.36513,8,0.36513,3,0.136924,1,0.045641,3,0.136924,725,33.089913,,17253,13,
"Apr 17 (1877)",444,23.654768,90,4.794885,659,35.109217,55,2.930208,6,0.319659,16,0.852424,7,0.372936,2,0.106553,9,0.479489,589,31.379861,,13569,14,
"Apr 24 (1248)",267,21.394231,45,3.605769,473,37.900641,47,3.766026,9,0.721154,4,0.320513,3,0.240385,3,0.240385,13,1.041667,384,30.769231,,9446,13,
"May 01 (1006)",168,16.699801,49,4.870775,397,39.463221,50,4.970179,3,0.298211,2,0.198807,2,0.198807,19,1.888668,5,0.497018,311,30.914513,,7034,14,
"May 08 (0637)",77,12.087912,20,3.139717,283,44.427002,43,6.750392,1,0.156986,0,0.0,4,0.627943,25,3.924647,4,0.627943,180,28.257457,,4909,13,
"May 15 (0492)",61,12.398374,19,3.861789,191,38.821138,29,5.894309,3,0.609756,2,0.406504,2,0.406504,14,2.845528,20,4.065041,151,30.691057,,3438,14,
"May 22 (0356)",35,9.831461,13,3.651685,124,34.831461,33,9.269663,1,0.280899,1,0.280899,1,0.280899,25,7.022472,16,4.494382,107,30.05618,,2454,15,
"May 29 (0182)",15,8.241758,4,2.197802,61,33.516484,21,11.538462,0,0.0,0,0.0,1,0.549451,12,6.593407,11,6.043956,57,31.318681,,1669,11,
"Jun 05 (0166)",6,3.614458,3,1.807229,49,29.518072,21,12.650602,0,0.0,0,0.0,0,0.0,14,8.433735,23,13.855422,50,30.120482,,1290,13,
"Jun 12 (0166)",6,3.614458,1,0.60241,28,16.86747,14,8.433735,0,0.0,0,0.0,0,0.0,43,25.903614,31,18.674699,43,25.903614,,1174,14,
"Jun 19 (0124)",1,0.806452,0,0.0,18,14.516129,10,8.064516,0,0.0,0,0.0,0,0.0,44,35.483871,16,12.903226,35,28.225806,,1071,12,
"Jun 26 (0149)",1,0.671141,1,0.671141,26,17.449664,9,6.040268,0,0.0,0,0.0,0,0.0,60,40.268456,19,12.751678,33,22.147651,,1060,14,
"Jul 03 (0140)",0,0.0,1,0.714286,16,11.428571,10,7.142857,0,0.0,0,0.0,0,0.0,86,61.428571,9,6.428571,18,12.857143,,1329,11,
"Jul 10 (0245)",2,0.816327,1,0.408163,12,4.897959,15,6.122449,0,0.0,0,0.0,0,0.0,182,74.285714,17,6.938776,16,6.530612,,2032,12,
"Jul 17 (0327)",0,0.0,0,0.0,15,4.587156,14,4.281346,0,0.0,0,0.0,1,0.30581,276,84.40367,12,3.669725,9,2.752294,,3156,10,
"Jul 24 (0546)",3,0.549451,1,0.18315,6,1.098901,6,1.098901,0,0.0,0,0.0,1,0.18315,508,93.040293,12,2.197802,9,1.648352,,5187,11,
"Jul 31 (0835)",0,0.0,0,0.0,8,0.958084,4,0.479042,0,0.0,0,0.0,1,0.11976,807,96.646707,7,0.838323,8,0.958084,,7639,11,
"Aug 07 (1134)",0,0.0,0,0.0,1,0.088183,4,0.352734,0,0.0,0,0.0,0,0.0,1109,97.795414,6,0.529101,14,1.234568,,9702,12,
"Aug 14 (1294)",0,0.0,0,0.0,4,0.309119,2,0.15456,0,0.0,0,0.0,0,0.0,1274,98.454405,2,0.15456,12,0.927357,,10627,12,
"Aug 21 (1222)",0,0.0,0,0.0,2,0.163666,2,0.163666,0,0.0,0,0.0,0,0.0,1204,98.527005,4,0.327332,10,0.818331,1320,10812,11,2240
"Aug 28 (0953)",0,0.0,0,0.0,1,0.104932,2,0.209864,0,0.0,0,0.0,0,0.0,935,98.111228,5,0.524659,10,1.049318,1320,9975,10,2240
"Sep 04 (???)",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 11 (???)",,,,,,,,,,,,,,,,,,,,,,,,
