"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (532)",3,0.56391,32,6.015038,4,0.75188,0,0.0,1,0.18797,6,1.12782,0,0.0,0,0.0,0,0.0,486,91.353383,
"Jan 09 (872)",8,0.917431,50,5.733945,8,0.917431,0,0.0,6,0.688073,12,1.376147,0,0.0,0,0.0,0,0.0,788,90.366972,
"Jan 16 (415)",9,2.168675,45,10.843373,13,3.13253,0,0.0,5,1.204819,12,2.891566,0,0.0,0,0.0,0,0.0,331,79.759036,
"Jan 23 (481)",13,2.702703,55,11.434511,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,398,82.744283,
"Jan 30 (775)",61,7.870968,124,16.0,23,2.967742,0,0.0,12,1.548387,14,1.806452,1,0.129032,0,0.0,0,0.0,540,69.677419,
"Feb 06 (1007)",82,8.142999,207,20.556107,75,7.447865,0,0.0,8,0.794439,17,1.688183,0,0.0,0,0.0,0,0.0,618,61.370407,
"Feb 13 (1067)",60,5.623243,300,28.116214,98,9.18463,0,0.0,12,1.124649,20,1.874414,0,0.0,0,0.0,0,0.0,577,54.076851,
"Feb 20 (1164)",164,14.089347,257,22.079038,109,9.364261,0,0.0,19,1.632302,17,1.460481,2,0.171821,2,0.171821,0,0.0,594,51.030928,
"Feb 27 (1114)",203,18.222621,258,23.159785,145,13.016158,0,0.0,6,0.5386,19,1.705566,0,0.0,0,0.0,0,0.0,483,43.357271,
"Mar 06 (1021)",194,19.000979,318,31.145935,154,15.083252,0,0.0,10,0.979432,16,1.567091,1,0.097943,1,0.097943,0,0.0,327,32.027424,
"Mar 13 (1778)",278,15.635546,384,21.5973,243,13.667042,4,0.224972,3,0.168729,24,1.349831,1,0.056243,5,0.281215,0,0.0,836,47.019123,
"Mar 20 (1172)",272,23.208191,220,18.771331,294,25.085324,3,0.255973,11,0.938567,17,1.450512,2,0.170648,1,0.085324,0,0.0,352,30.03413,
"Mar 27 (1969)",457,23.209751,412,20.924327,567,28.796343,22,1.117318,4,0.203149,18,0.91417,7,0.35551,3,0.152362,1,0.050787,478,24.276282,
"Apr 03 (1741)",384,22.056289,360,20.677771,605,34.750144,21,1.206203,11,0.631821,7,0.402068,3,0.172315,0,0.0,1,0.057438,349,20.045951,
"Apr 10 (2192)",503,22.94708,357,16.286496,761,34.717153,51,2.326642,8,0.364964,8,0.364964,3,0.136861,1,0.04562,3,0.136861,497,22.673358,
"Apr 17 (1878)",444,23.642173,295,15.7082,654,34.824281,52,2.768903,5,0.266241,16,0.85197,7,0.372737,2,0.106496,9,0.479233,394,20.979766,
"Apr 24 (1247)",265,21.251002,173,13.873296,468,37.530072,40,3.207698,8,0.64154,4,0.32077,3,0.240577,3,0.240577,13,1.042502,270,21.651965,
"May 01 (1005)",168,16.716418,130,12.935323,393,39.104478,49,4.875622,3,0.298507,2,0.199005,2,0.199005,19,1.890547,5,0.497512,234,23.283582,
"May 08 (639)",77,12.050078,58,9.076682,280,43.818466,35,5.477308,2,0.312989,0,0.0,3,0.469484,25,3.912363,4,0.625978,155,24.256651,
"May 15 (493)",61,12.373225,60,12.170385,187,37.931034,24,4.868154,3,0.608519,2,0.40568,0,0.0,14,2.839757,20,4.056795,122,24.74645,
"May 22 (367)",35,9.536785,38,10.354223,123,33.514986,23,6.26703,1,0.27248,1,0.27248,1,0.27248,27,7.356948,16,4.359673,102,27.792916,
"May 29 (218)",15,6.880734,13,5.963303,72,33.027523,21,9.633028,0,0.0,0,0.0,1,0.458716,16,7.33945,14,6.422018,66,30.275229,
"Jun 05 (179)",6,3.351955,5,2.793296,53,29.608939,22,12.290503,0,0.0,0,0.0,0,0.0,14,7.821229,27,15.083799,52,29.050279,
"Jun 12 (187)",6,3.208556,2,1.069519,28,14.973262,16,8.55615,0,0.0,0,0.0,0,0.0,52,27.807487,34,18.181818,49,26.203209,
"Jun 19 (138)",1,0.724638,1,0.724638,22,15.942029,9,6.521739,0,0.0,0,0.0,0,0.0,49,35.507246,17,12.318841,39,28.26087,
"Jun 26 (186)",1,0.537634,1,0.537634,32,17.204301,13,6.989247,0,0.0,0,0.0,0,0.0,72,38.709677,27,14.516129,40,21.505376,
"Jul 03 (169)",0,0.0,1,0.591716,19,11.242604,8,4.733728,0,0.0,0,0.0,0,0.0,102,60.35503,14,8.284024,25,14.792899,
"Jul 10 (322)",2,0.621118,3,0.931677,16,4.968944,17,5.279503,0,0.0,0,0.0,0,0.0,232,72.049689,28,8.695652,24,7.453416,
"Jul 17 (433)",0,0.0,1,0.230947,15,3.464203,12,2.771363,0,0.0,0,0.0,0,0.0,364,84.064665,17,3.926097,24,5.542725,
"Jul 24 (734)",3,0.408719,1,0.13624,6,0.817439,7,0.953678,0,0.0,0,0.0,0,0.0,684,93.188011,17,2.316076,16,2.179837,
"Jul 31 (1090)",0,0.0,0,0.0,8,0.733945,5,0.458716,0,0.0,0,0.0,0,0.0,1047,96.055046,11,1.009174,19,1.743119,
"Aug 07 (1490)",0,0.0,1,0.067114,4,0.268456,5,0.33557,0,0.0,0,0.0,0,0.0,1451,97.38255,8,0.536913,21,1.409396,
"Aug 14 (1751)",0,0.0,0,0.0,4,0.228441,2,0.11422,0,0.0,0,0.0,0,0.0,1717,98.058252,6,0.342661,22,1.256425,
"Aug 21 (1813)",0,0.0,0,0.0,2,0.110314,3,0.165472,0,0.0,0,0.0,0,0.0,1770,97.62824,6,0.330943,32,1.76503,
"Aug 28 (1617)",0,0.0,0,0.0,1,0.061843,2,0.123686,0,0.0,0,0.0,0,0.0,1579,97.649969,8,0.494743,27,1.669759,
"Sep 04 (1249)",0,0.0,0,0.0,1,0.080064,2,0.160128,0,0.0,0,0.0,0,0.0,1210,96.877502,4,0.320256,32,2.56205,
"Sep 11 (1338)",0,0.0,0,0.0,2,0.149477,1,0.074738,0,0.0,0,0.0,0,0.0,1301,97.234679,6,0.44843,28,2.092676,
"Sep 18 (1653)",0,0.0,0,0.0,0,0.0,2,0.120992,0,0.0,0,0.0,0,0.0,1613,97.580157,4,0.241984,34,2.056866,
"Sep 25 (1485)",0,0.0,0,0.0,0,0.0,1,0.06734,0,0.0,0,0.0,0,0.0,1451,97.710438,11,0.740741,22,1.481481,
"Oct 02 (1077)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1060,98.421541,1,0.092851,16,1.485608,
"Oct 09 (825)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,809,98.060606,0,0.0,16,1.939394,
"Oct 16 (888)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,869,97.86036,0,0.0,19,2.13964,
"Oct 23 (771)",0,0.0,0,0.0,0,0.0,1,0.129702,0,0.0,0,0.0,0,0.0,765,99.22179,0,0.0,5,0.648508,
"Oct 30 (708)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,687,97.033898,1,0.141243,20,2.824859,
"Nov 06 (521)",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,503,96.545106,0,0.0,18,3.454894,1820
"Nov 13 (337)",0,0.0,0,0.0,1,0.296736,0,0.0,0,0.0,0,0.0,0,0.0,325,96.439169,0,0.0,11,3.264095,1820
