"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (532)",3,0.56391,32,6.015038,4,0.75188,0,0.0,1,0.18797,6,1.12782,0,0.0,0,0.0,0,0.0,486,91.353383,
"Jan 09 (872)",8,0.917431,50,5.733945,8,0.917431,0,0.0,5,0.573394,12,1.376147,1,0.114679,0,0.0,0,0.0,788,90.366972,
"Jan 16 (415)",9,2.168675,45,10.843373,13,3.13253,0,0.0,5,1.204819,12,2.891566,0,0.0,0,0.0,0,0.0,331,79.759036,
"Jan 23 (481)",13,2.702703,55,11.434511,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,398,82.744283,
"Jan 30 (775)",61,7.870968,124,16.0,23,2.967742,0,0.0,11,1.419355,14,1.806452,4,0.516129,0,0.0,0,0.0,538,69.419355,
"Feb 06 (1006)",82,8.151093,207,20.576541,76,7.554672,0,0.0,8,0.795229,17,1.689861,2,0.198807,0,0.0,0,0.0,614,61.033797,
"Feb 13 (1066)",60,5.628518,300,28.142589,95,8.91182,0,0.0,12,1.125704,20,1.876173,0,0.0,0,0.0,0,0.0,579,54.315197,
"Feb 20 (1161)",164,14.125754,256,22.049957,92,7.924203,0,0.0,16,1.378122,16,1.378122,2,0.172265,1,0.086133,2,0.172265,612,52.713178,
"Feb 27 (1112)",203,18.255396,258,23.201439,141,12.679856,0,0.0,5,0.44964,20,1.798561,0,0.0,0,0.0,4,0.359712,481,43.255396,
"Mar 06 (1021)",194,19.000979,318,31.145935,150,14.691479,0,0.0,10,0.979432,16,1.567091,1,0.097943,1,0.097943,2,0.195886,329,32.22331,
"Mar 13 (1777)",278,15.644344,384,21.609454,204,11.480023,4,0.225098,4,0.225098,24,1.350591,1,0.056275,2,0.112549,19,1.069218,857,48.227349,
"Mar 20 (1170)",272,23.247863,220,18.803419,294,25.128205,3,0.25641,11,0.940171,18,1.538462,2,0.17094,1,0.08547,0,0.0,349,29.82906,
"Mar 27 (1969)",457,23.209751,412,20.924327,571,28.999492,22,1.117318,4,0.203149,18,0.91417,7,0.35551,3,0.152362,1,0.050787,474,24.073134,
"Apr 03 (1741)",384,22.056289,360,20.677771,607,34.86502,22,1.263642,11,0.631821,7,0.402068,5,0.287191,0,0.0,1,0.057438,344,19.758759,
"Apr 10 (2192)",503,22.94708,357,16.286496,757,34.534672,51,2.326642,7,0.319343,8,0.364964,3,0.136861,1,0.04562,3,0.136861,502,22.90146,
"Apr 17 (1878)",444,23.642173,295,15.7082,655,34.877529,52,2.768903,6,0.319489,16,0.85197,9,0.479233,2,0.106496,9,0.479233,390,20.766773,
"Apr 24 (1247)",265,21.251002,173,13.873296,468,37.530072,40,3.207698,9,0.721732,4,0.32077,4,0.32077,3,0.240577,13,1.042502,268,21.49158,
"May 01 (1005)",168,16.716418,130,12.935323,396,39.402985,49,4.875622,3,0.298507,2,0.199005,3,0.298507,19,1.890547,5,0.497512,230,22.885572,
"May 08 (639)",77,12.050078,58,9.076682,280,43.818466,35,5.477308,1,0.156495,0,0.0,6,0.938967,25,3.912363,4,0.625978,153,23.943662,
