"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (0532)",3,0.56391,31,5.827068,4,0.75188,0,0.0,1,0.18797,6,1.12782,0,0.0,0,0.0,0,0.0,487,91.541353,
"Jan 09 (0871)",8,0.918485,50,5.740528,8,0.918485,0,0.0,5,0.574053,12,1.377727,0,0.0,0,0.0,0,0.0,788,90.470723,
"Jan 16 (0415)",9,2.168675,44,10.60241,13,3.13253,0,0.0,5,1.204819,12,2.891566,0,0.0,0,0.0,0,0.0,332,80.0,
"Jan 23 (0481)",13,2.702703,55,11.434511,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,398,82.744283,
"Jan 30 (0775)",61,7.870968,121,15.612903,23,2.967742,0,0.0,11,1.419355,14,1.806452,1,0.129032,0,0.0,0,0.0,544,70.193548,
"Feb 06 (1006)",82,8.151093,205,20.377734,75,7.455268,0,0.0,7,0.695825,17,1.689861,0,0.0,0,0.0,0,0.0,620,61.630219,
"Feb 13 (1066)",60,5.628518,295,27.673546,97,9.099437,0,0.0,12,1.125704,20,1.876173,0,0.0,0,0.0,0,0.0,582,54.596623,
"Feb 20 (1162)",164,14.113597,239,20.567986,91,7.831325,0,0.0,15,1.290878,16,1.376936,2,0.172117,0,0.0,0,0.0,635,54.64716,
"Feb 27 (1114)",203,18.222621,251,22.531418,138,12.387792,0,0.0,5,0.448833,20,1.795332,0,0.0,0,0.0,0,0.0,497,44.614004,
"Mar 06 (1021)",194,19.000979,310,30.36239,150,14.691479,0,0.0,10,0.979432,15,1.469148,0,0.0,0,0.0,1,0.097943,341,33.398629,
"Mar 13 (1777)",278,15.644344,298,16.769837,191,10.748452,5,0.281373,4,0.225098,24,1.350591,0,0.0,0,0.0,0,0.0,977,54.980304,
"Mar 20 (1172)",272,23.208191,213,18.174061,292,24.914676,3,0.255973,11,0.938567,18,1.535836,2,0.170648,1,0.085324,0,0.0,360,30.716724,
"Mar 27 (1968)",456,23.170732,409,20.78252,565,28.70935,22,1.117886,4,0.203252,18,0.914634,6,0.304878,3,0.152439,1,0.050813,484,24.593496,
"Apr 03 (1739)",384,22.081656,356,20.471535,604,34.732605,21,1.207591,11,0.632547,7,0.40253,3,0.172513,0,0.0,1,0.057504,352,20.241518,
