"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (0532)",3,0.56391,32,6.015038,4,0.75188,0,0.0,1,0.18797,6,1.12782,0,0.0,0,0.0,0,0.0,486,91.353383,
"Jan 09 (0871)",8,0.918485,50,5.740528,8,0.918485,0,0.0,6,0.688863,12,1.377727,0,0.0,0,0.0,0,0.0,787,90.355913,
"Jan 16 (0415)",9,2.168675,45,10.843373,13,3.13253,0,0.0,5,1.204819,12,2.891566,0,0.0,0,0.0,0,0.0,331,79.759036,
"Jan 23 (0481)",13,2.702703,55,11.434511,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,398,82.744283,
"Jan 30 (0775)",61,7.870968,124,16.0,23,2.967742,0,0.0,12,1.548387,14,1.806452,1,0.129032,0,0.0,0,0.0,540,69.677419,
"Feb 06 (1007)",82,8.142999,207,20.556107,75,7.447865,0,0.0,8,0.794439,17,1.688183,0,0.0,0,0.0,0,0.0,618,61.370407,
"Feb 13 (1067)",60,5.623243,300,28.116214,98,9.18463,0,0.0,12,1.124649,20,1.874414,0,0.0,0,0.0,0,0.0,577,54.076851,
"Feb 20 (1164)",164,14.089347,257,22.079038,94,8.075601,0,0.0,15,1.28866,16,1.37457,2,0.171821,0,0.0,0,0.0,616,52.920962,
"Feb 27 (1114)",203,18.222621,258,23.159785,140,12.567325,0,0.0,5,0.448833,20,1.795332,0,0.0,0,0.0,0,0.0,488,43.806104,
"Mar 06 (1021)",194,19.000979,318,31.145935,153,14.985309,0,0.0,10,0.979432,16,1.567091,1,0.097943,0,0.0,0,0.0,329,32.22331,
"Mar 13 (1777)",278,15.644344,384,21.609454,208,11.705121,4,0.225098,4,0.225098,24,1.350591,0,0.0,0,0.0,0,0.0,875,49.240293,
"Mar 20 (1172)",272,23.208191,220,18.771331,294,25.085324,3,0.255973,11,0.938567,18,1.535836,2,0.170648,1,0.085324,0,0.0,351,29.948805,
"Mar 27 (1969)",457,23.209751,412,20.924327,568,28.847131,22,1.117318,4,0.203149,18,0.91417,7,0.35551,3,0.152362,1,0.050787,477,24.225495,
"Apr 03 (1739)",384,22.081656,358,20.586544,605,34.790109,21,1.207591,11,0.632547,7,0.40253,3,0.172513,0,0.0,1,0.057504,349,20.069005,
"Apr 10 (2192)",503,22.94708,357,16.286496,761,34.717153,51,2.326642,8,0.364964,8,0.364964,3,0.136861,1,0.04562,3,0.136861,497,22.673358,
"Apr 17 (1877)",443,23.601492,295,15.716569,654,34.842834,52,2.770378,5,0.266383,16,0.852424,7,0.372936,2,0.106553,9,0.479489,394,20.990943,
"Apr 24 (1247)",265,21.251002,173,13.873296,468,37.530072,40,3.207698,8,0.64154,4,0.32077,3,0.240577,3,0.240577,13,1.042502,270,21.651965,
"May 01 (1005)",168,16.716418,130,12.935323,393,39.104478,49,4.875622,3,0.298507,2,0.199005,2,0.199005,19,1.890547,5,0.497512,234,23.283582,
"May 08 (0639)",77,12.050078,58,9.076682,280,43.818466,35,5.477308,2,0.312989,0,0.0,3,0.469484,25,3.912363,4,0.625978,155,24.256651,
"May 15 (0493)",61,12.373225,60,12.170385,187,37.931034,24,4.868154,3,0.608519,2,0.40568,0,0.0,14,2.839757,20,4.056795,122,24.74645,
"May 22 (0367)",35,9.536785,38,10.354223,123,33.514986,23,6.26703,1,0.27248,1,0.27248,1,0.27248,26,7.084469,16,4.359673,103,28.065395,
"May 29 (0218)",15,6.880734,13,5.963303,72,33.027523,21,9.633028,0,0.0,0,0.0,1,0.458716,16,7.33945,14,6.422018,66,30.275229,
"Jun 05 (0179)",6,3.351955,5,2.793296,53,29.608939,22,12.290503,0,0.0,0,0.0,0,0.0,14,7.821229,27,15.083799,52,29.050279,
"Jun 12 (0187)",6,3.208556,2,1.069519,28,14.973262,16,8.55615,0,0.0,0,0.0,0,0.0,52,27.807487,34,18.181818,49,26.203209,
"Jun 19 (0137)",1,0.729927,1,0.729927,22,16.058394,9,6.569343,0,0.0,0,0.0,0,0.0,49,35.766423,16,11.678832,39,28.467153,
"Jun 26 (0186)",1,0.537634,1,0.537634,32,17.204301,13,6.989247,0,0.0,0,0.0,0,0.0,72,38.709677,27,14.516129,40,21.505376,
"Jul 03 (0168)",0,0.0,1,0.595238,19,11.309524,8,4.761905,0,0.0,0,0.0,0,0.0,102,60.714286,14,8.333333,24,14.285714,
"Jul 10 (0321)",2,0.623053,3,0.934579,16,4.984424,17,5.29595,0,0.0,0,0.0,0,0.0,231,71.962617,28,8.722741,24,7.476636,
"Jul 17 (0433)",0,0.0,1,0.230947,15,3.464203,12,2.771363,0,0.0,0,0.0,0,0.0,364,84.064665,18,4.157044,23,5.311778,
"Jul 24 (0730)",3,0.410959,1,0.136986,6,0.821918,7,0.958904,0,0.0,0,0.0,0,0.0,681,93.287671,17,2.328767,15,2.054795,
"Jul 31 (1088)",0,0.0,0,0.0,8,0.735294,5,0.459559,0,0.0,0,0.0,0,0.0,1051,96.599265,11,1.011029,13,1.194853,
"Aug 07 (1487)",0,0.0,1,0.067249,4,0.268998,5,0.336247,0,0.0,0,0.0,0,0.0,1454,97.780767,7,0.470746,16,1.075992,
