"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (0529)",2,0.378072,40,7.561437,4,0.756144,0,0.0,1,0.189036,6,1.134216,0,0.0,0,0.0,0,0.0,476,89.981096,
"Jan 09 (0862)",8,0.928074,59,6.844548,9,1.044084,0,0.0,5,0.580046,11,1.276102,0,0.0,0,0.0,0,0.0,770,89.327146,
"Jan 16 (0414)",10,2.415459,51,12.318841,13,3.140097,0,0.0,5,1.207729,12,2.898551,0,0.0,0,0.0,0,0.0,323,78.019324,
"Jan 23 (0482)",13,2.697095,63,13.070539,8,1.659751,0,0.0,1,0.207469,7,1.452282,0,0.0,0,0.0,0,0.0,390,80.912863,
"Jan 30 (0775)",64,8.258065,154,19.870968,23,2.967742,0,0.0,11,1.419355,14,1.806452,2,0.258065,0,0.0,0,0.0,507,65.419355,
"Feb 06 (0994)",100,10.060362,226,22.736419,79,7.947686,0,0.0,7,0.704225,17,1.710262,1,0.100604,0,0.0,0,0.0,564,56.740443,
"Feb 13 (1056)",137,12.973485,266,25.189394,100,9.469697,0,0.0,13,1.231061,17,1.609848,0,0.0,0,0.0,0,0.0,523,49.526515,
"Feb 20 (1161)",181,15.590009,274,23.600345,104,8.957795,0,0.0,17,1.464255,16,1.378122,2,0.172265,0,0.0,0,0.0,567,48.837209,
"Feb 27 (1101)",205,18.619437,316,28.701181,151,13.714805,0,0.0,5,0.454133,20,1.81653,0,0.0,1,0.090827,0,0.0,403,36.603088,
"Mar 06 (1017)",195,19.174041,386,37.954769,160,15.732547,0,0.0,11,1.081613,15,1.474926,0,0.0,2,0.196657,0,0.0,248,24.385447,
"Mar 13 (1769)",284,16.054268,460,26.003392,269,15.206331,4,0.226116,5,0.282646,23,1.30017,0,0.0,2,0.113058,0,0.0,722,40.814019,
"Mar 20 (1162)",275,23.666093,333,28.657487,306,26.333907,3,0.258176,12,1.032702,17,1.462995,4,0.344234,1,0.086059,0,0.0,211,18.158348,
"Mar 27 (1949)",453,23.242689,580,29.758851,597,30.631093,19,0.974859,5,0.256542,18,0.923551,8,0.410467,3,0.153925,1,0.051308,265,13.596716,
"Apr 03 (1710)",379,22.163743,478,27.953216,619,36.19883,23,1.345029,10,0.584795,7,0.409357,5,0.292398,0,0.0,1,0.05848,188,10.994152,
"Apr 10 (2136)",509,23.829588,563,26.357678,776,36.329588,52,2.434457,8,0.374532,8,0.374532,5,0.234082,0,0.0,2,0.093633,213,9.97191,
"Apr 17 (1818)",448,24.642464,441,24.257426,677,37.238724,57,3.135314,6,0.330033,16,0.880088,11,0.605061,2,0.110011,7,0.385039,153,8.415842,
"Apr 24 (1201)",267,22.231474,256,21.31557,488,40.632806,47,3.913405,9,0.749376,4,0.333056,5,0.41632,3,0.249792,4,0.333056,118,9.825146,
"May 01 (0948)",175,18.459916,203,21.413502,406,42.827004,53,5.590717,3,0.316456,2,0.21097,7,0.738397,19,2.004219,6,0.632911,74,7.805907,
"May 08 (0597)",76,12.730318,94,15.745394,291,48.743719,44,7.370184,1,0.167504,0,0.0,4,0.670017,24,4.020101,6,1.005025,57,9.547739,
"May 15 (0489)",64,13.087935,98,20.0409,198,40.490798,32,6.543967,3,0.613497,2,0.408998,3,0.613497,14,2.862986,17,3.476483,58,11.860941,
"May 22 (0331)",39,11.782477,50,15.10574,124,37.462236,33,9.969789,1,0.302115,1,0.302115,2,0.60423,25,7.55287,16,4.833837,40,12.084592,
"May 29 (0161)",15,9.31677,19,11.801242,61,37.888199,20,12.42236,0,0.0,0,0.0,2,1.242236,11,6.832298,9,5.590062,24,14.906832,
"Jun 05 (0150)",6,4.0,9,6.0,56,37.333333,21,14.0,2,1.333333,0,0.0,1,0.666667,13,8.666667,22,14.666667,20,13.333333,
"Jun 12 (0151)",6,3.97351,4,2.649007,34,22.516556,13,8.609272,0,0.0,0,0.0,0,0.0,43,28.476821,29,19.205298,22,14.569536,
"Jun 19 (0115)",2,1.73913,2,1.73913,18,15.652174,10,8.695652,1,0.869565,0,0.0,1,0.869565,42,36.521739,11,9.565217,28,24.347826,
"Jun 26 (0138)",1,0.724638,4,2.898551,25,18.115942,8,5.797101,1,0.724638,0,0.0,0,0.0,59,42.753623,15,10.869565,25,18.115942,
"Jul 03 (0120)",0,0.0,1,0.833333,15,12.5,9,7.5,3,2.5,0,0.0,0,0.0,80,66.666667,5,4.166667,7,5.833333,830
"Jul 10 (0163)",2,1.226994,1,0.613497,7,4.294479,11,6.748466,0,0.0,0,0.0,0,0.0,123,75.460123,9,5.521472,10,6.134969,830
"Jul 17 (???)",,,,,,,,,,,,,,,,,,,
"Jul 24 (???)",,,,,,,,,,,,,,,,,,,
