"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (0529)",2,0.378072,40,7.561437,4,0.756144,0,0.0,1,0.189036,6,1.134216,0,0.0,0,0.0,0,0.0,476,89.981096,
"Jan 09 (0861)",8,0.929152,59,6.852497,9,1.045296,0,0.0,5,0.58072,11,1.277584,0,0.0,0,0.0,0,0.0,769,89.31475,
"Jan 16 (0414)",10,2.415459,51,12.318841,13,3.140097,0,0.0,5,1.207729,12,2.898551,0,0.0,0,0.0,0,0.0,323,78.019324,
"Jan 23 (0484)",13,2.68595,63,13.016529,8,1.652893,0,0.0,1,0.206612,7,1.446281,0,0.0,0,0.0,0,0.0,392,80.991736,
"Jan 30 (0777)",63,8.108108,155,19.94852,23,2.960103,0,0.0,11,1.415701,14,1.801802,2,0.2574,0,0.0,0,0.0,509,65.508366,
"Feb 06 (0995)",100,10.050251,226,22.713568,79,7.939698,0,0.0,7,0.703518,17,1.708543,1,0.100503,0,0.0,0,0.0,565,56.78392,
"Feb 13 (1073)",137,12.76794,277,25.815471,100,9.319664,0,0.0,13,1.211556,19,1.770736,0,0.0,0,0.0,0,0.0,527,49.114632,
"Feb 20 (1166)",182,15.608919,275,23.584906,104,8.919383,0,0.0,17,1.457976,16,1.372213,2,0.171527,0,0.0,0,0.0,570,48.885077,
"Feb 27 (1115)",205,18.38565,329,29.506726,151,13.542601,0,0.0,5,0.44843,20,1.793722,0,0.0,1,0.089686,0,0.0,404,36.233184,
"Mar 06 (1022)",195,19.080235,388,37.964775,160,15.655577,0,0.0,11,1.076321,15,1.46771,0,0.0,2,0.195695,0,0.0,251,24.559687,
"Mar 13 (1771)",284,16.036138,461,26.030491,269,15.189159,4,0.225861,5,0.282326,23,1.298701,0,0.0,2,0.112931,0,0.0,723,40.824393,
"Mar 20 (1163)",275,23.645744,333,28.632846,306,26.311264,3,0.257954,12,1.031814,17,1.461737,4,0.343938,1,0.085985,0,0.0,212,18.228719,
"Mar 27 (1949)",453,23.242689,580,29.758851,597,30.631093,19,0.974859,5,0.256542,18,0.923551,8,0.410467,3,0.153925,1,0.051308,265,13.596716,
"Apr 03 (1711)",379,22.150789,479,27.995324,619,36.177674,23,1.344243,10,0.584454,7,0.409117,5,0.292227,0,0.0,1,0.058445,188,10.987726,
"Apr 10 (2149)",509,23.685435,569,26.477431,780,36.295952,53,2.466263,8,0.372266,8,0.372266,5,0.232666,1,0.046533,2,0.093067,214,9.95812,
"Apr 17 (1822)",448,24.588364,442,24.259056,680,37.321625,57,3.12843,6,0.329308,16,0.878156,11,0.603732,2,0.109769,7,0.384193,153,8.397366,
"Apr 24 (1204)",267,22.17608,258,21.428571,488,40.531561,47,3.903654,9,0.747508,4,0.332226,5,0.415282,3,0.249169,4,0.332226,119,9.883721,
"May 01 (0960)",175,18.229167,211,21.979167,410,42.708333,53,5.520833,3,0.3125,2,0.208333,7,0.729167,19,1.979167,6,0.625,74,7.708333,
"May 08 (0602)",76,12.624585,95,15.780731,291,48.33887,45,7.475083,1,0.166113,0,0.0,5,0.830565,24,3.986711,6,0.996678,59,9.800664,
"May 15 (0492)",64,13.00813,98,19.918699,200,40.650407,32,6.504065,3,0.609756,2,0.406504,3,0.609756,14,2.845528,17,3.455285,59,11.99187,
"May 22 (0336)",39,11.607143,51,15.178571,126,37.5,34,10.119048,1,0.297619,1,0.297619,2,0.595238,25,7.440476,16,4.761905,41,12.202381,
"May 29 (0167)",15,8.982036,20,11.976048,63,37.724551,21,12.57485,0,0.0,0,0.0,2,1.197605,13,7.784431,9,5.389222,24,14.371257,
"Jun 05 (0153)",6,3.921569,10,6.535948,56,36.601307,22,14.379085,2,1.30719,0,0.0,1,0.653595,13,8.496732,22,14.379085,21,13.72549,
"Jun 12 (0151)",6,3.97351,4,2.649007,34,22.516556,13,8.609272,0,0.0,0,0.0,0,0.0,43,28.476821,29,19.205298,22,14.569536,
"Jun 19 (0115)",1,0.869565,2,1.73913,18,15.652174,10,8.695652,1,0.869565,0,0.0,1,0.869565,42,36.521739,15,13.043478,25,21.73913,
"Jun 26 (0142)",1,0.704225,4,2.816901,25,17.605634,10,7.042254,1,0.704225,0,0.0,0,0.0,61,42.957746,19,13.380282,21,14.788732,
"Jul 03 (0129)",0,0.0,1,0.775194,17,13.178295,11,8.527132,3,2.325581,0,0.0,0,0.0,85,65.891473,7,5.426357,5,3.875969,
"Jul 10 (0230)",2,0.869565,2,0.869565,12,5.217391,14,6.086957,0,0.0,0,0.0,0,0.0,173,75.217391,14,6.086957,13,5.652174,
"Jul 17 (0292)",0,0.0,0,0.0,14,4.794521,13,4.452055,0,0.0,0,0.0,1,0.342466,250,85.616438,7,2.39726,7,2.39726,830
"Jul 24 (0382)",3,0.78534,0,0.0,6,1.570681,5,1.308901,0,0.0,0,0.0,1,0.26178,353,92.408377,7,1.832461,7,1.832461,830
"Jul 31 (???)",,,,,,,,,,,,,,,,,,,,,
"Aug 07 (???)",,,,,,,,,,,,,,,,,,,,,
"Aug 14 (n/a)",,,,,,,,,,,,,,,,,,,,,
"Aug 21 (n/a)",,,,,,,,,,,,,,,,,,,,,
"Aug 28 (n/a)",,,,,,,,,,,,,,,,,,,,,
"Sep 04 (n/a)",,,,,,,,,,,,,,,,,,,,,
"Sep 11 (n/a)",,,,,,,,,,,,,,,,,,,,,
