"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (532)",3,0.56391,32,6.015038,4,0.75188,0,0.0,1,0.18797,6,1.12782,0,0.0,0,0.0,0,0.0,486,91.353383,
"Jan 09 (872)",8,0.917431,50,5.733945,8,0.917431,0,0.0,5,0.573394,12,1.376147,0,0.0,0,0.0,0,0.0,789,90.481651,
"Jan 16 (415)",9,2.168675,45,10.843373,13,3.13253,0,0.0,5,1.204819,12,2.891566,0,0.0,0,0.0,0,0.0,331,79.759036,
"Jan 23 (481)",13,2.702703,55,11.434511,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,398,82.744283,
"Jan 30 (775)",61,7.870968,124,16.0,23,2.967742,0,0.0,11,1.419355,14,1.806452,1,0.129032,0,0.0,0,0.0,541,69.806452,
"Feb 06 (1007)",82,8.142999,207,20.556107,75,7.447865,0,0.0,8,0.794439,17,1.688183,0,0.0,0,0.0,0,0.0,618,61.370407,
"Feb 13 (1067)",60,5.623243,300,28.116214,98,9.18463,0,0.0,12,1.124649,20,1.874414,0,0.0,0,0.0,0,0.0,577,54.076851,
"Feb 20 (1165)",164,14.077253,257,22.060086,110,9.44206,0,0.0,19,1.630901,17,1.459227,2,0.171674,2,0.171674,0,0.0,594,50.987124,
"Feb 27 (1114)",203,18.222621,258,23.159785,145,13.016158,0,0.0,6,0.5386,19,1.705566,0,0.0,0,0.0,0,0.0,483,43.357271,
"Mar 06 (1021)",194,19.000979,318,31.145935,154,15.083252,0,0.0,10,0.979432,16,1.567091,1,0.097943,1,0.097943,0,0.0,327,32.027424,
"Mar 13 (1778)",278,15.635546,384,21.5973,271,15.241845,4,0.224972,4,0.224972,24,1.349831,1,0.056243,19,1.068616,0,0.0,793,44.600675,
"Mar 20 (1172)",272,23.208191,220,18.771331,295,25.170648,3,0.255973,12,1.023891,17,1.450512,2,0.170648,1,0.085324,0,0.0,350,29.863481,
"Mar 27 (1969)",457,23.209751,412,20.924327,567,28.796343,22,1.117318,7,0.35551,18,0.91417,7,0.35551,4,0.203149,1,0.050787,474,24.073134,
"Apr 03 (1741)",384,22.056289,360,20.677771,605,34.750144,21,1.206203,11,0.631821,7,0.402068,3,0.172315,0,0.0,1,0.057438,349,20.045951,
"Apr 10 (2192)",503,22.94708,357,16.286496,761,34.717153,51,2.326642,8,0.364964,8,0.364964,3,0.136861,1,0.04562,3,0.136861,497,22.673358,
"Apr 17 (1878)",444,23.642173,295,15.7082,654,34.824281,52,2.768903,5,0.266241,16,0.85197,7,0.372737,2,0.106496,9,0.479233,394,20.979766,
"Apr 24 (1247)",265,21.251002,173,13.873296,468,37.530072,40,3.207698,8,0.64154,4,0.32077,3,0.240577,3,0.240577,13,1.042502,270,21.651965,
"May 01 (1006)",168,16.699801,131,13.021869,393,39.065606,48,4.771372,3,0.298211,2,0.198807,2,0.198807,19,1.888668,5,0.497018,235,23.359841,
"May 08 (639)",77,12.050078,58,9.076682,280,43.818466,35,5.477308,2,0.312989,0,0.0,3,0.469484,25,3.912363,4,0.625978,155,24.256651,
"May 15 (493)",61,12.373225,60,12.170385,188,38.133874,24,4.868154,3,0.608519,2,0.40568,0,0.0,14,2.839757,20,4.056795,121,24.543611,
"May 22 (367)",35,9.536785,39,10.626703,123,33.514986,23,6.26703,1,0.27248,1,0.27248,1,0.27248,27,7.356948,16,4.359673,101,27.520436,
"May 29 (218)",15,6.880734,17,7.798165,74,33.944954,19,8.715596,0,0.0,0,0.0,1,0.458716,18,8.256881,14,6.422018,60,27.522936,
"Jun 05 (179)",6,3.351955,5,2.793296,53,29.608939,22,12.290503,0,0.0,0,0.0,0,0.0,14,7.821229,27,15.083799,52,29.050279,
