"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete","cases","percent sequenced","incomplete sequencing"
"Jan 02 (0529)",2,0.378072,40,7.561437,4,0.756144,0,0.0,1,0.189036,6,1.134216,0,0.0,0,0.0,0,0.0,476,89.981096,,27351,2,
"Jan 09 (0861)",8,0.929152,59,6.852497,9,1.045296,0,0.0,5,0.58072,11,1.277584,0,0.0,0,0.0,0,0.0,769,89.31475,,36218,2,
"Jan 16 (0414)",10,2.415459,51,12.318841,13,3.140097,0,0.0,5,1.207729,12,2.898551,0,0.0,0,0.0,0,0.0,323,78.019324,,33005,1,
"Jan 23 (0483)",13,2.691511,63,13.043478,8,1.656315,0,0.0,1,0.207039,7,1.449275,0,0.0,0,0.0,0,0.0,391,80.952381,,30470,2,
"Jan 30 (0776)",64,8.247423,154,19.845361,23,2.963918,0,0.0,11,1.417526,14,1.804124,2,0.257732,0,0.0,0,0.0,508,65.463918,,29170,3,
"Feb 06 (0995)",100,10.050251,226,22.713568,79,7.939698,0,0.0,7,0.703518,17,1.708543,1,0.100503,0,0.0,0,0.0,565,56.78392,,23763,4,
"Feb 13 (1058)",137,12.94896,266,25.141777,100,9.451796,0,0.0,13,1.228733,17,1.606805,0,0.0,0,0.0,0,0.0,525,49.621928,,22510,5,
"Feb 20 (1167)",181,15.509854,276,23.650386,104,8.91174,0,0.0,17,1.456727,16,1.371037,2,0.17138,0,0.0,0,0.0,571,48.928877,,19462,6,
"Feb 27 (1108)",205,18.501805,322,29.061372,152,13.718412,0,0.0,5,0.451264,20,1.805054,0,0.0,1,0.090253,0,0.0,403,36.371841,,21557,5,
"Mar 06 (1022)",195,19.080235,388,37.964775,160,15.655577,0,0.0,11,1.076321,15,1.46771,0,0.0,2,0.195695,0,0.0,251,24.559687,,20149,5,
"Mar 13 (1771)",284,16.036138,461,26.030491,269,15.189159,4,0.225861,5,0.282326,23,1.298701,0,0.0,2,0.112931,0,0.0,723,40.824393,,20292,9,
"Mar 20 (1164)",275,23.62543,334,28.694158,306,26.28866,3,0.257732,12,1.030928,17,1.460481,4,0.343643,1,0.085911,0,0.0,212,18.213058,,19793,6,
"Mar 27 (1949)",453,23.242689,580,29.758851,597,30.631093,19,0.974859,5,0.256542,18,0.923551,8,0.410467,3,0.153925,1,0.051308,265,13.596716,,22060,9,
"Apr 03 (1710)",379,22.163743,478,27.953216,619,36.19883,23,1.345029,10,0.584795,7,0.409357,5,0.292398,0,0.0,1,0.05848,188,10.994152,,19142,9,
"Apr 10 (2136)",509,23.829588,563,26.357678,776,36.329588,52,2.434457,8,0.374532,8,0.374532,5,0.234082,0,0.0,2,0.093633,213,9.97191,,17257,12,
"Apr 17 (1819)",449,24.683892,441,24.24409,677,37.218252,57,3.13359,6,0.329852,16,0.879604,11,0.604728,2,0.109951,7,0.384827,153,8.411215,,13574,13,
"Apr 24 (1202)",267,22.212978,256,21.297837,488,40.599002,47,3.91015,9,0.748752,4,0.332779,5,0.415973,3,0.249584,4,0.332779,119,9.900166,,9451,13,
"May 01 (0954)",175,18.343816,207,21.698113,408,42.767296,53,5.555556,3,0.314465,2,0.209644,7,0.733753,19,1.991614,6,0.628931,74,7.756813,,7029,14,
"May 08 (0602)",76,12.624585,95,15.780731,291,48.33887,45,7.475083,1,0.166113,0,0.0,5,0.830565,24,3.986711,6,0.996678,59,9.800664,,4907,12,
"May 15 (0491)",64,13.034623,98,19.959267,199,40.529532,32,6.517312,3,0.610998,2,0.407332,3,0.610998,14,2.851324,17,3.462322,59,12.016293,,3433,14,
"May 22 (0336)",39,11.607143,51,15.178571,126,37.5,34,10.119048,1,0.297619,1,0.297619,2,0.595238,25,7.440476,16,4.761905,41,12.202381,,2451,14,
"May 29 (0167)",15,8.982036,20,11.976048,63,37.724551,21,12.57485,0,0.0,0,0.0,2,1.197605,13,7.784431,9,5.389222,24,14.371257,,1663,10,
"Jun 05 (0153)",6,3.921569,10,6.535948,56,36.601307,22,14.379085,2,1.30719,0,0.0,1,0.653595,13,8.496732,22,14.379085,21,13.72549,,1268,12,
"Jun 12 (0151)",6,3.97351,4,2.649007,34,22.516556,13,8.609272,0,0.0,0,0.0,0,0.0,43,28.476821,29,19.205298,22,14.569536,,1172,13,
"Jun 19 (0114)",1,0.877193,2,1.754386,18,15.789474,10,8.77193,1,0.877193,0,0.0,1,0.877193,42,36.842105,14,12.280702,25,21.929825,,1055,11,
"Jun 26 (0142)",1,0.704225,4,2.816901,25,17.605634,10,7.042254,1,0.704225,0,0.0,0,0.0,61,42.957746,19,13.380282,21,14.788732,,1057,13,
"Jul 03 (0130)",0,0.0,1,0.769231,17,13.076923,11,8.461538,3,2.307692,0,0.0,0,0.0,86,66.153846,7,5.384615,5,3.846154,,1314,10,
"Jul 10 (0225)",2,0.888889,2,0.888889,11,4.888889,12,5.333333,0,0.0,0,0.0,0,0.0,172,76.444444,14,6.222222,12,5.333333,830,2021,11,2190
"Jul 17 (0277)",0,0.0,0,0.0,14,5.054152,12,4.33213,0,0.0,0,0.0,1,0.361011,237,85.559567,7,2.527076,6,2.166065,830,3129,9,2190
"Jul 24 (???)",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 31 (???)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 07 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 14 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 21 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 28 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 04 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 11 (n/a)",,,,,,,,,,,,,,,,,,,,,,,,
