"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (0532)",3,0.56391,31,5.827068,4,0.75188,0,0.0,2,0.37594,6,1.12782,0,0.0,0,0.0,0,0.0,486,91.353383,
"Jan 09 (0872)",8,0.917431,50,5.733945,8,0.917431,0,0.0,7,0.802752,12,1.376147,0,0.0,0,0.0,0,0.0,787,90.252294,
"Jan 16 (0413)",9,2.179177,44,10.653753,13,3.1477,0,0.0,5,1.210654,12,2.905569,0,0.0,0,0.0,0,0.0,330,79.903148,
"Jan 23 (0481)",13,2.702703,55,11.434511,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,398,82.744283,
"Jan 30 (0775)",61,7.870968,121,15.612903,23,2.967742,0,0.0,15,1.935484,14,1.806452,1,0.129032,0,0.0,0,0.0,540,69.677419,
"Feb 06 (1005)",82,8.159204,204,20.298507,75,7.462687,0,0.0,13,1.293532,17,1.691542,0,0.0,0,0.0,0,0.0,614,61.094527,
"Feb 13 (1066)",60,5.628518,295,27.673546,97,9.099437,0,0.0,13,1.219512,20,1.876173,0,0.0,0,0.0,0,0.0,581,54.502814,
"Feb 20 (1162)",164,14.113597,239,20.567986,91,7.831325,0,0.0,15,1.290878,17,1.462995,2,0.172117,0,0.0,0,0.0,634,54.561102,
"Feb 27 (1113)",203,18.238994,251,22.551662,138,12.398922,0,0.0,5,0.449236,20,1.796945,0,0.0,0,0.0,0,0.0,496,44.564241,
"Mar 06 (1021)",194,19.000979,310,30.36239,150,14.691479,0,0.0,10,0.979432,16,1.567091,0,0.0,0,0.0,0,0.0,341,33.398629,
"Mar 13 (1777)",278,15.644344,298,16.769837,190,10.692178,4,0.225098,5,0.281373,22,1.238042,0,0.0,0,0.0,0,0.0,980,55.149128,
"Mar 20 (1170)",272,23.247863,213,18.205128,291,24.871795,2,0.17094,11,0.940171,17,1.452991,2,0.17094,1,0.08547,0,0.0,361,30.854701,
"Mar 27 (1968)",456,23.170732,409,20.78252,564,28.658537,18,0.914634,4,0.203252,18,0.914634,6,0.304878,3,0.152439,1,0.050813,489,24.847561,
"Apr 03 (1740)",384,22.068966,357,20.517241,602,34.597701,20,1.149425,15,0.862069,7,0.402299,3,0.172414,0,0.0,1,0.057471,351,20.172414,
"Apr 10 (2192)",503,22.94708,357,16.286496,756,34.489051,55,2.509124,8,0.364964,8,0.364964,3,0.136861,1,0.04562,3,0.136861,498,22.718978,
"Apr 17 (1877)",443,23.601492,293,15.610016,651,34.683005,51,2.717102,8,0.426212,16,0.852424,7,0.372936,2,0.106553,9,0.479489,397,21.150773,
"Apr 24 (1247)",266,21.331195,172,13.793103,468,37.530072,40,3.207698,10,0.801925,4,0.32077,3,0.240577,3,0.240577,13,1.042502,268,21.49158,
"May 01 (1004)",168,16.733068,130,12.948207,390,38.844622,50,4.98008,4,0.398406,2,0.199203,2,0.199203,19,1.89243,5,0.498008,234,23.306773,
"May 08 (0639)",77,12.050078,58,9.076682,280,43.818466,38,5.946792,3,0.469484,0,0.0,3,0.469484,25,3.912363,4,0.625978,151,23.630673,
"May 15 (0493)",61,12.373225,60,12.170385,187,37.931034,25,5.070994,7,1.419878,2,0.40568,0,0.0,14,2.839757,20,4.056795,117,23.732252,
"May 22 (0367)",35,9.536785,38,10.354223,123,33.514986,25,6.811989,1,0.27248,1,0.27248,1,0.27248,26,7.084469,16,4.359673,101,27.520436,
"May 29 (0220)",15,6.818182,13,5.909091,73,33.181818,20,9.090909,0,0.0,0,0.0,1,0.454545,16,7.272727,14,6.363636,68,30.909091,
"Jun 05 (0179)",6,3.351955,4,2.234637,51,28.49162,21,11.731844,0,0.0,0,0.0,0,0.0,14,7.821229,27,15.083799,56,31.284916,
"Jun 12 (0187)",6,3.208556,2,1.069519,28,14.973262,13,6.951872,1,0.534759,0,0.0,0,0.0,52,27.807487,34,18.181818,51,27.272727,
