"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Apr 10 (2144)",506,23.600746,131,6.110075,777,36.240672,53,2.472015,8,0.373134,8,0.373134,3,0.139925,1,0.046642,3,0.139925,654,30.503731,
"Apr 17 (1808)",446,24.668142,95,5.254425,671,37.112832,56,3.097345,6,0.331858,16,0.884956,8,0.442478,2,0.110619,9,0.497788,499,27.599558,
"Apr 24 (1196)",268,22.408027,48,4.013378,481,40.217391,48,4.013378,9,0.752508,4,0.334448,3,0.250836,3,0.250836,13,1.086957,319,26.672241,
"May 01 (0949)",171,18.018967,51,5.374078,407,42.88725,51,5.374078,3,0.316122,2,0.210748,2,0.210748,19,2.002107,6,0.632244,237,24.973656,
"May 08 (0607)",77,12.685338,20,3.294893,289,47.611203,46,7.578254,1,0.164745,0,0.0,4,0.658979,25,4.118616,5,0.823723,140,23.06425,
"May 15 (0480)",63,13.125,20,4.166667,197,41.041667,30,6.25,3,0.625,2,0.416667,2,0.416667,14,2.916667,20,4.166667,129,26.875,
"May 22 (0330)",36,10.909091,14,4.242424,127,38.484848,33,10.0,1,0.30303,1,0.30303,1,0.30303,25,7.575758,16,4.848485,76,23.030303,
"May 29 (0166)",15,9.036145,5,3.012048,63,37.951807,21,12.650602,0,0.0,0,0.0,1,0.60241,12,7.228916,11,6.626506,38,22.891566,
"Jun 05 (0153)",6,3.921569,3,1.960784,49,32.026144,22,14.379085,0,0.0,0,0.0,0,0.0,14,9.150327,23,15.03268,36,23.529412,
"Jun 12 (0151)",6,3.97351,1,0.662252,29,19.205298,14,9.271523,0,0.0,0,0.0,0,0.0,43,28.476821,31,20.529801,27,17.880795,
"Jun 19 (0118)",1,0.847458,0,0.0,18,15.254237,10,8.474576,0,0.0,0,0.0,0,0.0,44,37.288136,16,13.559322,29,24.576271,
"Jun 26 (0142)",1,0.704225,1,0.704225,26,18.309859,9,6.338028,0,0.0,0,0.0,0,0.0,60,42.253521,19,13.380282,26,18.309859,
"Jul 03 (0128)",0,0.0,1,0.78125,16,12.5,10,7.8125,0,0.0,0,0.0,0,0.0,85,66.40625,9,7.03125,7,5.46875,
"Jul 10 (0242)",2,0.826446,1,0.413223,12,4.958678,15,6.198347,0,0.0,0,0.0,0,0.0,180,74.380165,17,7.024793,15,6.198347,
"Jul 17 (0327)",0,0.0,0,0.0,15,4.587156,14,4.281346,0,0.0,0,0.0,1,0.30581,276,84.40367,12,3.669725,9,2.752294,
"Jul 24 (0546)",3,0.549451,1,0.18315,6,1.098901,6,1.098901,0,0.0,0,0.0,1,0.18315,508,93.040293,12,2.197802,9,1.648352,
"Jul 31 (0833)",0,0.0,0,0.0,8,0.960384,4,0.480192,0,0.0,0,0.0,1,0.120048,805,96.638655,7,0.840336,8,0.960384,
"Aug 07 (1111)",0,0.0,0,0.0,1,0.090009,4,0.360036,0,0.0,0,0.0,0,0.0,1089,98.019802,4,0.360036,13,1.170117,
"Aug 14 (1253)",0,0.0,0,0.0,4,0.319234,2,0.159617,0,0.0,0,0.0,0,0.0,1236,98.643256,2,0.159617,9,0.718276,1290
"Aug 21 (1029)",0,0.0,0,0.0,2,0.194363,2,0.194363,0,0.0,0,0.0,0,0.0,1019,99.028183,3,0.291545,3,0.291545,1290
"Aug 28 (???)",,,,,,,,,,,,,,,,,,,,,
"Sep 04 (???)",,,,,,,,,,,,,,,,,,,,,
"Sep 11 (n/a)",,,,,,,,,,,,,,,,,,,,,
