"Sequence week","B.1.526 +E484K count","B.1.526 +E484K  percent","B.1.526 no E484K count","B.1.526 no E484K percent","B.1.1.7 count","B.1.1.7 percent","P.1 count","P.1 percent","B.1.427 count","B.1.427 percent","B.1.429 count","B.1.429 percent","B.1.351 count","B.1.351 percent","B.1.617.2 count","B.1.617.2 percent","B.1.621 count","B.1.621 percent","Other count","Other percent","incomplete"
"Jan 02 (0533)",3,0.562852,38,7.129456,4,0.750469,0,0.0,1,0.187617,6,1.125704,0,0.0,0,0.0,0,0.0,481,90.243902,
"Jan 09 (0870)",8,0.91954,61,7.011494,9,1.034483,0,0.0,5,0.574713,12,1.37931,0,0.0,0,0.0,0,0.0,775,89.08046,
"Jan 16 (0413)",9,2.179177,49,11.864407,13,3.1477,0,0.0,5,1.210654,12,2.905569,0,0.0,0,0.0,0,0.0,325,78.692494,
"Jan 23 (0481)",13,2.702703,62,12.889813,8,1.663202,0,0.0,1,0.2079,6,1.247401,0,0.0,0,0.0,0,0.0,391,81.288981,
"Jan 30 (0775)",64,8.258065,152,19.612903,23,2.967742,0,0.0,11,1.419355,14,1.806452,2,0.258065,0,0.0,0,0.0,509,65.677419,
"Feb 06 (1005)",99,9.850746,231,22.985075,78,7.761194,0,0.0,7,0.696517,17,1.691542,1,0.099502,0,0.0,0,0.0,572,56.915423,
"Feb 13 (1069)",138,12.909261,279,26.099158,99,9.260992,0,0.0,12,1.122544,20,1.870907,0,0.0,0,0.0,0,0.0,521,48.737138,
"Feb 20 (1162)",184,15.834768,304,26.16179,103,8.864028,0,0.0,14,1.204819,17,1.462995,2,0.172117,0,0.0,0,0.0,538,46.299484,
"Feb 27 (1114)",203,18.222621,336,30.16158,147,13.195691,0,0.0,4,0.359066,21,1.885099,3,0.2693,2,0.179533,0,0.0,398,35.72711,
"Mar 06 (1020)",196,19.215686,382,37.45098,161,15.784314,0,0.0,10,0.980392,16,1.568627,1,0.098039,0,0.0,0,0.0,254,24.901961,
"Mar 13 (1776)",280,15.765766,618,34.797297,263,14.808559,4,0.225225,3,0.168919,26,1.463964,2,0.112613,0,0.0,0,0.0,580,32.657658,
"Mar 20 (1170)",278,23.760684,340,29.059829,309,26.410256,3,0.25641,11,0.940171,18,1.538462,3,0.25641,1,0.08547,0,0.0,207,17.692308,
